unix,date,symbol,open,high,low,close,Volume BTC,Volume USD
1500854400,7/24/2017 0:00,BTC/USD,2749.02,2800,2701,2759.98,27562683.88,10001.91
1500768000,7/23/2017 0:00,BTC/USD,2832.71,2855,2640,2749.02,30306854.43,11000.53
1500681600,7/22/2017 0:00,BTC/USD,2670,2882,2644.59,2832.71,35783389.64,12811.92
1500595200,7/21/2017 0:00,BTC/USD,2875.03,2887.45,2611.39,2670,56427932.93,20713.79
1500508800,7/20/2017 0:00,BTC/USD,2265.21,2938,2265.21,2875.03,80333454.15,30969.52
1500422400,7/19/2017 0:00,BTC/USD,2303.71,2402.5,2223,2265.21,39243957.64,17007.92
1500336000,7/18/2017 0:00,BTC/USD,2226,2392,2164,2303.71,57642999.9,25186.71
1500249600,7/17/2017 0:00,BTC/USD,1917.63,2229.97,1910.57,2226,55012387.35,26427.32
1500163200,7/16/2017 0:00,BTC/USD,1970.51,2044.44,1830,1917.63,49004259.73,25559.44
1500076800,7/15/2017 0:00,BTC/USD,2213.37,2219.99,1967.65,1970.51,40917690.02,19882.2
1499990400,7/14/2017 0:00,BTC/USD,2339.99,2357.84,2140,2213.37,28223890.84,12614.31
1499904000,7/13/2017 0:00,BTC/USD,2388,2425.16,2312.93,2339.99,19953094.82,8427.81
1499817600,7/12/2017 0:00,BTC/USD,2305.98,2408.84,2239.54,2388,30250318.76,12881.06
1499731200,7/11/2017 0:00,BTC/USD,2323.45,2399,2242.62,2305.98,41135309.34,17576.48
1499644800,7/10/2017 0:00,BTC/USD,2502.28,2527.88,2261.85,2323.45,41625857.69,17285.96
1499558400,7/9/2017 0:00,BTC/USD,2550.07,2564.65,2500.5,2502.28,11357689.63,4481.28
1499472000,7/8/2017 0:00,BTC/USD,2501.46,2555,2462,2550.07,13570951.58,5400.45
1499385600,7/7/2017 0:00,BTC/USD,2600.39,2605,2475,2501.46,23866443.45,9428.99
1499299200,7/6/2017 0:00,BTC/USD,2602.9,2614,2522,2600.39,21512892.56,8327.49
1499212800,7/5/2017 0:00,BTC/USD,2596.12,2623,2530.1,2602.9,27944609.56,10880.61
1499126400,7/4/2017 0:00,BTC/USD,2550.47,2639.47,2540.07,2596.12,25084134.62,9653.8
1499040000,7/3/2017 0:00,BTC/USD,2504.37,2595,2472.68,2550.47,29211425.51,11519.81
1498953600,7/2/2017 0:00,BTC/USD,2412.41,2528.72,2374.34,2504.37,21373737.73,8739.52
1498867200,7/1/2017 0:00,BTC/USD,2465.49,2517.11,2390,2412.41,21694860.67,8863.07
1498780800,6/30/2017 0:00,BTC/USD,2541.59,2564.58,2451,2465.49,21937499.3,8711.29
1498694400,6/29/2017 0:00,BTC/USD,2559.9,2594.78,2500.31,2541.59,20745883.75,8115.56
1498608000,6/28/2017 0:00,BTC/USD,2565,2593,2468.01,2559.9,31054748.58,12254.3
1498521600,6/27/2017 0:00,BTC/USD,2421.22,2565,2291,2565,45725060.61,19109.29
1498435200,6/26/2017 0:00,BTC/USD,2502.03,2550.03,2315.01,2421.22,54077563.86,22086.78
1498348800,6/25/2017 0:00,BTC/USD,2557.66,2635.72,2432,2502.03,26249953.89,10339.57
1498262400,6/24/2017 0:00,BTC/USD,2685.05,2724.96,2512.13,2557.66,34941154.41,13341.43
1498176000,6/23/2017 0:00,BTC/USD,2713.48,2745,2657.46,2685.05,22339917.54,8229.5
1498089600,6/22/2017 0:00,BTC/USD,2657.04,2740,2594.61,2713.48,28950475.51,10790.79
1498003200,6/21/2017 0:00,BTC/USD,2740,2789,2611,2657.04,42292796.44,15671.82
1497916800,6/20/2017 0:00,BTC/USD,2598,2783,2581,2740,42537518.87,15891.45
1497830400,6/19/2017 0:00,BTC/USD,2516.98,2598,2480.96,2598,26993977.69,10563.71
1497744000,6/18/2017 0:00,BTC/USD,2630,2665,2460.62,2516.98,24021728.81,9423.46
1497657600,6/17/2017 0:00,BTC/USD,2484.68,2674.4,2420.53,2630,28555923.68,11137.71
