unix,date,symbol,open,high,low,close,Volume XRP,Volume USD
1630281600,8/30/2021 0:00,XRP/USD,1.14145,1.15098,1.09475,1.10019,31479927.34,34633901.26
1630195200,8/29/2021 0:00,XRP/USD,1.14781,1.1684,1.11267,1.13982,25708622.32,29303201.89
1630108800,8/28/2021 0:00,XRP/USD,1.19111,1.19825,1.1335,1.14513,25580369.01,29292847.97
1630022400,8/27/2021 0:00,XRP/USD,1.07226,1.193,1.05137,1.193,36148829.55,43125553.65
1629936000,8/26/2021 0:00,XRP/USD,1.1734,1.18718,1.06272,1.07261,45953659.84,49290355.08
1629849600,8/25/2021 0:00,XRP/USD,1.13584,1.17807,1.10712,1.1751,40851832.12,48004987.93
1629763200,8/24/2021 0:00,XRP/USD,1.24522,1.2666,1.1228,1.1352,40472666.74,45944571.28
1629676800,8/23/2021 0:00,XRP/USD,1.22754,1.30441,1.206,1.24817,42565600.18,53129105.17
1629590400,8/22/2021 0:00,XRP/USD,1.21684,1.256,1.17543,1.22629,24425622.33,29952896.41
1629504000,8/21/2021 0:00,XRP/USD,1.26365,1.28348,1.20365,1.21726,28358062.93,34519135.68
1629417600,8/20/2021 0:00,XRP/USD,1.23507,1.28981,1.19916,1.26374,37721568.71,47670255.25
1629331200,8/19/2021 0:00,XRP/USD,1.14548,1.23532,1.08878,1.23482,38718660.37,47810576.2
1629244800,8/18/2021 0:00,XRP/USD,1.09697,1.19999,1.052,1.1425,51665196.61,59027487.13
1629158400,8/17/2021 0:00,XRP/USD,1.18919,1.225,1.08654,1.09782,56061644.04,61545594.06
1629072000,8/16/2021 0:00,XRP/USD,1.28602,1.32926,1.13844,1.1857,66499390.84,78848327.71
1628985600,8/15/2021 0:00,XRP/USD,1.28042,1.34999,1.22579,1.28443,63758141.91,81892870.22
1628899200,8/14/2021 0:00,XRP/USD,1.09103,1.31159,1.07099,1.28114,73494563.48,94156825.06
1628812800,8/13/2021 0:00,XRP/USD,0.966,1.09731,0.95196,1.08986,50597812.73,55144532.18
1628726400,8/12/2021 0:00,XRP/USD,1.01094,1.044,0.91369,0.96431,53872172.53,51949474.69
1628640000,8/11/2021 0:00,XRP/USD,0.85125,1.09186,0.84805,1.01209,79622875.91,80585516.48
1628553600,8/10/2021 0:00,XRP/USD,0.81628,0.86202,0.80021,0.85179,35156141.98,29945650.17
1628467200,8/9/2021 0:00,XRP/USD,0.77986,0.82851,0.75947,0.81763,45616979.63,37297811.05
1628380800,8/8/2021 0:00,XRP/USD,0.81659,0.84161,0.77205,0.77979,32700076.58,25499192.72
1628294400,8/7/2021 0:00,XRP/USD,0.74771,0.81925,0.74224,0.81666,33257092.26,27159736.96
1628208000,8/6/2021 0:00,XRP/USD,0.73341,0.75323,0.72243,0.74721,21272364.68,15894923.61
1628121600,8/5/2021 0:00,XRP/USD,0.73075,0.73955,0.70064,0.73382,18569411.79,13626605.76
1628035200,8/4/2021 0:00,XRP/USD,0.71292,0.73959,0.69501,0.73072,25826614.33,18872023.62
1627948800,8/3/2021 0:00,XRP/USD,0.73713,0.74479,0.70083,0.7129,27854692.22,19857610.09
1627862400,8/2/2021 0:00,XRP/USD,0.7251,0.77358,0.71555,0.73919,24730563.69,18280585.37
1627776000,8/1/2021 0:00,XRP/USD,0.74696,0.77811,0.70163,0.72478,18397173.84,13333903.66
1627689600,7/31/2021 0:00,XRP/USD,0.75271,0.75908,0.73781,0.74442,16520016.27,12297830.51
1627603200,7/30/2021 0:00,XRP/USD,0.74956,0.76986,0.71235,0.75271,37850745.67,28490634.77
