unix,date,symbol,open,high,low,close,Volume ETH,Volume USD
1629590400,2021-08-22 00:00:00,ETH/USD,3226.23,3276.43,3130.00,3241.55,12365.33086429,40082838.26313925
1629504000,2021-08-21 00:00:00,ETH/USD,3283.54,3312.53,3209.15,3226.15,14103.88537984,45501249.818170816
1629417600,2021-08-20 00:00:00,ETH/USD,3184.76,3305.09,3179.87,3285.64,42648.69027447,140128242.7134096
1629331200,2021-08-19 00:00:00,ETH/USD,3017.87,3189.41,2957.95,3185.18,29868.35300495,95136080.62430663
1629244800,2021-08-18 00:00:00,ETH/USD,3013.81,3127.39,2951.97,3014.15,22742.66510794,68549804.03509735
1629158400,2021-08-17 00:00:00,ETH/USD,3145.00,3293.72,2991.62,3011.95,40559.79078982,122164061.86939834
1629072000,2021-08-16 00:00:00,ETH/USD,3312.52,3340.06,3133.12,3146.83,35600.39683955,112028396.78660111
1628985600,2021-08-15 00:00:00,ETH/USD,3266.98,3324.53,3112.79,3311.44,48177.33312548,159536348.00503948
1628899200,2021-08-14 00:00:00,ETH/USD,3325.99,3333.33,3207.05,3267.79,15912.95409833,52000192.272981785
1628812800,2021-08-13 00:00:00,ETH/USD,3048.16,3330.08,3035.56,3324.52,69768.36897722,231946338.03214744
1628726400,2021-08-12 00:00:00,ETH/USD,3160.51,3240.00,2978.57,3044.74,62010.65214099,188806312.9997579
1628640000,2021-08-11 00:00:00,ETH/USD,3141.50,3279.88,3121.86,3161.79,42964.57202773,135844954.19155642
1628553600,2021-08-10 00:00:00,ETH/USD,3167.00,3235.00,3050.00,3141.68,62559.00520929,196540375.4859222
1628467200,2021-08-09 00:00:00,ETH/USD,3016.27,3191.43,2893.21,3167.00,58649.17163341,185741926.56300947
1628380800,2021-08-08 00:00:00,ETH/USD,3163.73,3190.00,2948.16,3015.33,35067.99007194,105741562.50362284
1628294400,2021-08-07 00:00:00,ETH/USD,2892.97,3174.16,2868.21,3162.81,61298.40643221,193875212.8478581
1628208000,2021-08-06 00:00:00,ETH/USD,2830.28,2950.16,2721.40,2892.51,42441.25502101,122761754.56082165
1628121600,2021-08-05 00:00:00,ETH/USD,2725.00,2845.00,2530.70,2830.09,59817.44387229,169288749.7285292
1628035200,2021-08-04 00:00:00,ETH/USD,2508.31,2775.00,2457.92,2725.34,35298.26581396,96199775.75341776
1627948800,2021-08-03 00:00:00,ETH/USD,2605.69,2630.02,2442.58,2508.04,47814.05946286,119919573.6952314
1627862400,2021-08-02 00:00:00,ETH/USD,2556.17,2665.99,2506.89,2608.07,62689.76296959,163499290.1080986
1627776000,2021-08-01 00:00:00,ETH/USD,2534.03,2699.00,2512.80,2556.30,30046.38842180,76807582.72264734
1627689600,2021-07-31 00:00:00,ETH/USD,2465.16,2555.00,2422.78,2525.76,16681.72420495,42134031.727894515
1627603200,2021-07-30 00:00:00,ETH/USD,2384.16,2473.38,2316.91,2464.18,28684.92554504,70684819.82957667
